mission,label,reason
provide soccer instruction to hanover township youth,0,"The mission focuses on providing soccer instruction, which is a secular activity and does not indicate any religious motivation."
the organization's primary exempt purpose is to teach youngsters the basics of sailing seaman-ship and safe conduct on the water it is the organization's mission to create and sustain a community of families who enjoy being on the water,0,"The mission focuses on teaching sailing and creating a community around water activities, which are secular in nature."
the bangor symphony orchestra provides powerful enriching and diverse musical experiences through live concert performances and education programs of the highest quality,0,"The mission focuses on providing musical experiences and education, which are secular activities."
henrietta d goodall hospital inc owns and operates h d goodall hospital inc (acute care hospital) goodall health partners (a multi-specialty physician and surgeon group) the medical group (a multi-specialty physician and surgeon group) goodall outpatient clinic (a facility where a variety of outpatient services are performed) goodall outpatient services-waterboro and goodall eldercare services (a long term care facility) in york county york county consists of 18 towns and cities located on the southern maine coast with a population of over 200000 henrietta d goodall hospital inc furthers its mission as a leader in improving the health and well-being of the community and provides access to needed health care services 365 days a year 24 hours a day,0,The mission focuses on healthcare services and community well-being without any religious or faith-based language.
this corporation hancock county agricultural society sole purpose is to put on the blue hill fair,0,"The mission focuses on organizing a fair, which is a secular activity and does not mention any religious or faith-based concepts."
to provide exceptional healthcare services in a safe and trustful environment through the expertise commitment and compassion of our family of caregivers,0,The mission focuses on providing healthcare services and does not mention any religious or faith-based concepts.
to promote and sponsor argricultural education in oxford county maine,0,"The mission focuses on agricultural education, which is a secular activity and does not mention any religious or faith-based concepts."
community betterment,1,"The mission emphasizes community betterment, which is typical of faith-based charities."
operate rural public library,0,"The mission focuses on operating a public library, which is a secular activity."
to provide affordable quality recreation programs to residents of the river valley activities include basketball gymnastics a fitness room a running track raquetball karate baseball and soccer,0,"The mission focuses on providing recreational programs and activities, which are secular in nature and do not indicate any religious motivation."
- to establish operate & maintain for scientific charitable educational & benevolent purposes a public hospital clinic infirmary & retirement community for the care & treatment of sick wounded infirm or aged persons a doctor's office building & a school for the education & training of nurses all without discrimination as to race color creed national origin age gender sexual orientation or financial status - to be operated & maintained as a critical access hospital in accordance with the standards established from time to time for the medicare rural hospital flexibility program - to encourage & carry on educational activities pursuant to continually improving the quality of care provided - to cooperate & participate with allied agencies in all activities designed to promote the general health of the community in the areas served by the hospital - this corporation shall not be conducted for gain or profit & no part of the net earnings shall inure to the benefit of an,0,The mission focuses on healthcare and educational services without any religious or faith-based motivation.
waldo county general hospital's mission is to be the best - better empathy service and teamwork our goal is to ensure quality accessible and affordable health care services and to improve the health and well-being of our community please see attached community benefits report,0,"The mission focuses on providing healthcare services and improving community health, which are secular activities."
excellent health care provided with compassion and respect,0,The mission focuses on healthcare and does not mention any religious or faith-based concepts.
conduct of agricultural fair to educate the general public in the fields of agriculture and related industries,0,"The mission focuses on conducting an agricultural fair and educating the public, which are secular activities."
promote economic development in windsor vt through growth and redevelopment and revitalization projects,0,"The mission focuses on economic development and revitalization projects, which are secular activities."
mission:,0,The mission is too vague and does not provide any indication of religious or faith-based activities.
plan organize and manage the northern maine agricultural fair,0,"The mission focuses on organizing an agricultural fair, which is a secular activity and does not mention any religious or faith-based concepts."
the iris network helps people who are visually impaired or blind attain independence and community integration,0,"The mission focuses on helping visually impaired or blind individuals attain independence and community integration, which is a secular activity."
the hospital is a not-for-profit entity established to provide health care services through its acute care facility and physician practices,0,"The mission focuses on providing healthcare services, which is a secular activity and does not mention any religious or faith-based concepts."
to foster interest in community theater and art,0,"The mission focuses on community theater and art, which are secular activities."
the women's board performs the following functions for the benefit of maine medical center (mmc):-provides equipment & services-operates the pavilion grill gift stop the boutique coffee kiosk vending machines and any further interests that the women's board chooses to undertake-the net proceeds are used for benevolent purposes directly related to the hospital and medical training scholarships-cooperates with other volunteer organizations working within mmc,0,The mission focuses on providing equipment and services for a medical center and does not mention any religious or faith-based motivations.
the mdi biological laboratory is a rapidly growing independent non-profit biomedical research institution its mission is to improve human health and well-being through research educationand development ventures that transform discoveries into cures,0,"The mission focuses on biomedical research and improving human health, which are secular activities."
preserve/maintain victoria mansion,0,"The mission focuses on preserving a historical mansion, which is a secular activity and does not indicate any religious motivation."
