mission,label,reason
Provide a travel and recreation soccer platform with instruction and competitive play for over 300 children.,0,"The summary focuses on providing a soccer platform for children, which is a secular activity and does not mention any religious or faith-based concepts."
"PROVIDES SAILING INSTRUCTION, SEAMAN-SHIP AND WATER SAFETY SKILLS TO CHILDREN.",0,"The summary focuses on providing sailing instruction and water safety skills, which are secular activities."
"CONCERTS - THE BSO PRODUCES LIVE CLASSICAL MUSIC PERFORMANCES FOR OVER 10,000 ATTENDEES FROM THROUGHOUT CENTRAL MAINE. THE BSO PRODUCES MULTIPLE CLASSICAL MUSIC CONCERTS, A POPS CONCERT, EDUCATIONAL CONCERTS FOR YOUNG PEOPLE, COMMUNITY OUTREACH PERFORMANCES, AND A YOUTH ORCHESTRA PROGRAM. EDUCATION - THROUGH THE ANNUAL YOUNG PEOPLE'S CONCERTS, THE BANGOR SYMPHONY YOUTH ORCHESTRAS, AND VARIOUS OUTREACH PROGRAMS, THE BSO PROVIDES ACCESSIBLE EDUCATIONAL OPPORTUNITIES TO YOUTH IN THE REGION.",0,"The summary focuses on classical music performances and educational opportunities, with no mention of religious or faith-based concepts."
"GOODALL HOSPITAL IS A 58 BED HOSPITAL WHICH STRIVES TO MEET THE HEALTH CARE NEEDS OF INDIVIDUALS AND FAMILIES THROUGHOUT YORK COUNTY. GOODALL HOSPITAL OFFERS A BROAD RANGE OF MEDICAL, SURGICAL, DIAGNOSTIC, CLINICAL AND REHABILITATION SERVICES, WELLNESS EDUCATION, SUPPORT GROUPS AND OTHER COMMUNITY OUTREACH PROGRAMS. GOODALL HOSPITAL HAD 21,394 EMERGENCY ROOMS VISITS, 46,963 RADIOLOGY PROCEDURES, 371,628 LABORATORY PROCEDURES, 149 INFANTS BORN, AND 2,506 SURGERY CASES. GOODALL HOSPITAL PROVIDED 1,729,454 IN CHARITY CARE TO THE COMMUNITY. THIS INCLUDES PATIENTS WHO ARE UNDERINSURED OR THOSE WITHOUT ANY INSURANCE. IN ADDITION TO THE CHARITABLE CARE SERVICES, WE ARE CONTINUALLY ABSORBING ALL THE COSTS (CONTINUED ON SCHEDULE O) ASSOCIATED WITH PROVIDING THE COMMUNITY WITH A VARIETY OF SPECIAL COMPLIMENTARY EDUCATIONAL AND INFORMATIONAL SERVICES. GOODALL PROUDLY SPONSORS COMMUNITY ORGANIZATIONS, SCHOOL GROUPS, CIVIC ORGANIZATIONS AND SPECIAL EVENTS (LIKE THE LOCAL BASEBALL TEAM). GOODALL HOSPITAL SPONSORS TWO TO FOUR FREE EDUCATION EVENTS EACH MONTH OF THE YEAR ALONG WITH DOZENS OF SUPPORT GROUPS. GOODALL HOSPITAL ALSO ROUTINELY PARTICIPATES IN HEALTH FAIRS AND BUSINESS EVENTS, PERFORMING BLOOD PRESSURE CHECKS, CHOLESTEROL SCREENINGS AND CPR TRAINING. GOODALL HOSPITAL'S SENIOR ADVOCATE PROVIDES FREE ADVICE AND SERVICES TO ELDERLY MEMBERS OF THE COMMUNITY. SERVICES INCLUDE HELP WITH INSURANCE AND MEDICAL ISSUES, AS WELL AS PERSONAL ISSUES INCLUDING TAX INFORMATION, FINANCES AND HOME NEEDS. GOODALL HEALTH PARTNERS CONSISTS OF MANY PHYSICIANS WITH MULTI-SPECIALTY SERVICES IN DIFFERENT LOCATIONS THROUGHOUT YORK COUNTY. THESE PHYSICIANS COMPLIMENT THE HOSPITAL IN MAINTAINING ITS MISSIONS TO SERVE AS A LEADER IN IMPROVING THE HEALTH AND WELL-BEING OF OUR COMMUNITY BY SERVING THE POPULOUS. THESE SPECIALTIES INCLUDE (BUT ARE NOT LIMITED TO) CARDIOLOGY, EAR NOSE AND THROAT, FAMILY PRACTICES, WOMEN'S HEALTH, INTERNAL MEDICINE, PEDIATRICS, ORTHO AND GENERAL SURGERY. GOODALL HEALTH PARTNERS PROVIDED 44,569 IN CHARITY CARE TO THE COMMUNITY. THE NUMBER OF PATIENTS SEEN WERE 21,413 FOR A TOTAL NUMBER OF VISITS OF 60,122. GOODALL HOSPITAL ELDERCARE SERVICES PROVIDE LONG-TERM CARE, MEDICAL SERVICES AND DAYCARE TO OUR SENIOR CITIZENS. ELDERCARE HAD A TOTAL OF 39,238 PATIENT DAYS. WE CONTINUE TO GROW AND ADAPT TO THE NEEDS OF OUR COMMUNITY WITH THIS SERVICE. GOODALL HOSPITAL ELDERCARE PRIDES THEMSELVES BY CREATING A HOME-LIKE, COMFORTABLE ENVIRONMENT FOR THE RESIDENTS AND STAFF. THE NEWTON CENTER FOR REHABILITATION AND NURSING CARE PROMOTES HIGH QUALITY CARE; WITH DEDICATED STAFF, FAMILY EDUCATION AND INVOLVEMENT MAKE THIS PROGRAM SPECIAL. GOODALL HOSPITAL ELDERCARE SERVICES PROVIDED 14,456 IN CHARITY CARE TO THE COMMUNITY. THE MEDICAL GROUP CONSISTS OF MANY PHYSICIANS WITH MULTI-SPECIALTY SERVICES THAT EXTEND GOODALL HOSPITAL'S EXISTING SERVICES TO KENNEBUNK, ME. THESE PHYSICIANS COMPLEMENT THE HOSPITAL IN MAINTAINING ITS MISSION TO SERVE AS A LEADER IN IMPROVING THE HEALTH AND WELL-BEING OF OUR COMMUNITY. THESE SERVICES INCLUDE (BUT ARE NOT LIMITED TO) FULL SERVICE PRIMARY CARE, WOMEN'S HEALTH, GASTROENTEROLOGY, PULMONARY MEDICINE, ORTHOPEDICS AND PAIN MANAGEMENT. THE MEDICAL GROUP PROVIDED 12,846 IN CHARITY CARE TO THE COMMUNITY. THE NUMBER OF PATIENTS SEEN WERE 10,855 FOR A TOTAL NUMBER OF 27,633 PATIENT DAYS.",0,The summary focuses on healthcare services and community outreach without any mention of religious or faith-based concepts.
No fair held in 2020 because of state mandate on COVID -19 No fair held in 2020 because of state mandate on COVID-19 No fair held in 2020 because of state mandate on COVID -19,0,"The summary focuses on the cancellation of a fair due to a state mandate related to COVID-19, which is a secular activity."
"BRIDGTON HOSPITAL IS A CRITICAL ACCESS HOSPITAL SERVING 20 SURROUNDING COMMUNITIES PLUS THE MOUNT WASHINGTON VALLEY COMMUNITIES OF NEW HAMPSHIRE. THE HOSPITAL HAS A MEDICAL / SURGICAL UNIT, CRITICAL CARE UNIT, AND OBSTETRICAL UNIT WITH TWO BIRTHING SUITES. OUR TWO OPERATING ROOMS HANDLE GENERAL, ORTHOPEDIC, AND AMBULATORY SURGERY. THE HOSPITAL HAS A 24 HOUR EMERGENCY DEPARTMENT AND NUMEROUS PROFESSIONAL SERVICES INCLUDING CT SCANNING, MRI, NUCLEAR MEDICINE SPECT SCANNING, TREADMILL INCLUDING THALLIUM ONCOLOGY CLINIC, INPATIENT AND OUTPATIENT PHYSICAL THERAPY AND MEDICAL SCIENCES LIBRARY.",0,The summary focuses on healthcare services and medical facilities without any mention of religious or faith-based concepts.
TO PROVIDE AGRICULTURAL EDUCATION TO OXFORD COUNTY AND THE SURROUNDING AREA.,0,"The summary focuses on agricultural education, which is a secular activity and does not mention any religious or faith-based concepts."
"PROVIDES POLICE, ROAD MAINTENANCE, POSTAL, LIBRARY, AND ENVIRONMENTAL PROTECTION SERVICES IN AND AROUND THE COMMUNITY OF PROUTS NECK SUPPORT OF PORTLAND MUSEUM OF ART - WINSLOW HOMER STUDIO INVASIVE PLANT ERADICATION",0,"The summary focuses on secular community services such as police, road maintenance, postal, library, and environmental protection, with no mention of religious or faith-based concepts."
"THE ORGANIZATION OPERATES THE PUBLIC LIBRARY IN THE TOWN OF RANGELEY MAINE, A RURAL COMMUNITY IN NORTHWEST MAINE.",0,"The summary focuses on operating a public library, which is a secular activity."
Recreational activities,0,The summary focuses on secular recreational activities and does not mention any religious or faith-based concepts.
